nombre_desarrollo;desarrollador;nombre de la tipolog¡a;numero de habitaciones;Niveles_departamento;metros_cuadrados;T.C.;precio_en_pesos;precio_en_dolares;pesos_por_metro_cuadrado;numero_de_unidades;Alberca;sun_deck;asadores;suites_de_huespedes;salon_de_juegos;lounge;terraza;gimnasio;lavander¡a;elevadores_de_alta_velocidad;estacionamiento_para_visitas;bodegas;sky_deck;salon_de_usos_multiples;fogateros;caf‚_y_patio;area_de_carga_y_descarga;recepci¢n_con_front_desk;concierge;tecnolog¡a_residencial;control_de_acceso;Raquetbol;Jacuzzi;Sauna;corredor_de_lectura;zona_barr‚;studio_yoga;cancha_de_tenis;area_de_bar_con_tv_para_eventos_deportivos;Room_services_de_cocina_privada;Sistema_de_audio_bose_en_areas_comunes;area_de_juegos_para_ni¤os;guarderia;pet_yard;acondicionado_para_silla_de_ruedas;WI-FI gratis en espacios comunes;alberca_con_tobogan;salon_para_tareas;pista_de_patinaje;chapoteadero_para_bebes;Brincol¡n;Circuito_de_crossfit;terraza_para_ejercicio_al_aire_libre
Life by COSMOPOLITAN;CIVSA;Modelo 2;2;1;120,67;18,5;$5.244.750,00;$283.500,00;$43.463,58;44;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
angular;GRUPO BECKMANN;Condominio 1;2;1;137;18,5;;;0;48;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
angular;GRUPO BECKMANN;Condominio 2;3;1;137;18,5;$4.801.000,00;$259.513,51;$35.043,80;48;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cumbres sky view;;Garden House;3;1;117,4;18,5;$3.681.500,00;$199.000,00;$31.358,60;100;1;0;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cumbres sky view;;Piso 2;3;1;141,9;18,5;;;0;100;1;0;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cumbres sky view;;Piso 3;3;1;113,9;18,5;;;0;100;1;0;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Residencial New City;ABADI;Modelo 87;1;1;87;18,5;;;0;100;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0
Residencial New City;ABADI;Modelo 140;2;1;140;18,5;$5.180.000,00;$280.000,00;$37.000,00;100;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0
Residencial New City;ABADI;Modelo 175;3;1;175;18,5;$6.031.000,00;$326.000,00;$34.462,86;100;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0
Residencial New City;ABADI;Modelo 280;3;1;280;18,5;$6.051.419,00;$327.103,73;$21.612,21;100;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0
Residencial New City;ABADI;Modelo 350;3;1;350;18,5;;;0;100;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0
Zona Victoria;;ZV 01;2;1;112;18,5;;;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zona Victoria;;ZV 02;2;1;85;18,5;;;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
